year,school,course_name,course_code,elr2b2_type,elr2b2,planned_intake,course_description,reference
2020,School of Film & Media Studies,Diploma in Mass Communication,N67,ELR2B2-A,3 to 8,115,"You will learn about the fundamentals of media writing, digital media, reporting and communications, and pick up skills on radio and video production. Areas of exposure include digital journalism and marketing, content marketing, research and user experience design. You will also be learning the skills of managing a media business, including identifying business opportunities, and understanding applications of data analysis and visualisation. Students will be developing your skills in top-notch purpose-built facilities that include TV and radio studios, and media labs. You will get real world exposure through our internship program and capstone project.",https://www.np.edu.sg/fms/Pages/mcm.aspx
2020,School of Film & Media Studies,Diploma in Media Post-Production,N13,ELR2B2-D,8 to 12,60,"You get to hone the art and craft of post-production by experiencing all areas of the field including color correction and editing, creating cutting-edge motion graphics and computer graphics and doing post-production and mixing for audio. You will also get hands-on experience with working on single and multi-camera productions, doing audio recording and engineering as well as learning the art of visual storytelling. On top of that, you will be exposed to emerging areas such as creating immersive experiences through live show projections, AR/VR, dramatic lighting design as well as sound design and live sound engineering. In the third year, you will get real world exposure through our internship program, media entrepreneurship module and capstone project.",https://www.np.edu.sg/fms/Pages/mpp.aspx
2020,School of Health Sciences,Diploma in Nursing,N69,ELR2B2-C,4 to 28,600,"The nursing course provides comprehensive training and has 41 weeks of clinical attachment throughout the 3-year course to enable students to put theory into practice.  In addition to core nursing modules, students will also learn about pharmacology, behavioural and life sciences and nursing research.",https://www.np.edu.sg/hs/Pages/nsg.aspx
2020,School of Health Sciences,Diploma in Optometry,N83,ELR2B2-C,4 to 12,40,"The optometry student will gain an in depth knowledge of how the human eye functions and acquire the skills to detect abnormal eye conditions. The students will learn how to test the eyesight of patients, as well as fit and prescribe appropriate eye wear such as spectacles and contact lenses.",https://www.np.edu.sg/hs/Pages/opt.aspx
2020,School of Humanities & Social Sciences,Diploma in Arts Business Management,N91,ELR2B2-B,4 to 8,45,"You get to study a range of subjects, such as arts management and financial management and gain industry exposure through volunteering, field trips and real world projects.",https://www.np.edu.sg/hms/Pages/abm.aspx
2020,School of Humanities & Social Sciences,Diploma in Chinese Media & Communication,N88,ELR2B2-A,5 to 12,45,"You will learn how to produce content, such as video and radio production and writing for the media as well as design collaterals and manage events.",https://www.np.edu.sg/hms/Pages/cmc.aspx
2020,School of Humanities & Social Sciences,Diploma in Chinese Studies,N70,ELR2B2-A,7 to 10,45,"You will gain a solid foundation in the Chinese language, culture and history. In Year 2, you can choose from one of three specialisations: Education, Business Chinese or Early Childhood Teaching. You will get to learn about child development, curriculum design, or business communication, translation and cultural heritage tourism, or early childhood education and curriculum planning.",https://www.np.edu.sg/hms/Pages/chs.aspx
2020,School of Humanities & Social Sciences,Diploma in Community Development,N11,ELR2B2-A,4 to 9,75,"You will have a more in-depth understanding of the social service sector and its communities, and be equipped with management and entrepreneurship skills so as to create quality, innovative and sustainable solutions to serve and empower communities. You will develop abilities such as managing individual casework, group facilitation, project and volunteer management and marketing strategies.",https://www.np.edu.sg/hms/Pages/cdt.aspx
2020,School of Humanities & Social Sciences,Diploma in Early Childhood Development & Education,N96,ELR2B2-A,3 to 17,500,"From the first year of study, you will go on weekly attachments at childcare centres, and you get to build your knowledge with foundational modules such as Child Development and Child Safety, Health & Socio-emotional Well-Being.",https://www.np.edu.sg/hms/Pages/ecde.aspx
2020,School of Humanities & Social Sciences,Diploma in Tamil Studies with Early Education,N95,ELR2B2-A,11 to 22,30,"You will be exposed to a range of modules that will equip you with the needed skills and knowledge to work with children. Along with that, you will learn more about the rich Tamil culture while strengthening your abilities to communicate in Tamil effectively.",https://www.np.edu.sg/hms/Pages/tse.aspx
2020,School of InfoComm Technology,Common ICT Programme,N98,ELR2B2-C,5 to 11,100,"You will gain an introduction to the field of IT by understanding the roles, practices and career paths of IT professionals. You will also learn the fundamentals of programming and cyber security, as well as an overview of enterprise information systems that use data analytics for decision making.",https://www.np.edu.sg/ict/Pages/cictp.aspx
2020,School of InfoComm Technology,Diploma in Cybersecurity & Digital Forensics,N94,ELR2B2-C,4 to 8,50,"You will build a strong foundation in basic IT and security and develop skills in the areas of network security, software security and digital forensics in your second year. You will set up secure web servers, develop secure software applications, investigate cybercrimes, perform penetration tests on software, systems and networks, conducting in-depth forensic investigations on digital devices and networks, and analysing malicious software or malware and work on information security projects in our cutting-edge CSF labs in your final year.",https://www.np.edu.sg/ict/Pages/csf.aspx
2020,School of InfoComm Technology,Diploma in Financial Informatics,N81,ELR2B2-C,4 to 12,50,"You will receive a strong foundation of IT knowledge, focusing on coding, databases, computer operating systems and networks as well as Accounting.  You will start building your digital portfolio in your first year, continue your portfolio in your second year and gain real-world experience through an internship in your third year.",https://www.np.edu.sg/ict/Pages/fi.aspx
2020,School of InfoComm Technology,Diploma in Immersive Media,N55,ELR2B2-C,7 to 13,50,"You will receive a broad-based training in design and development of immersive  and interactive media content. Buliding a strong foundational training   through modules such as Applied Design, Interactive Development and Programming. You will learn how to create compelling interactive media content and applications with great user-experience .",https://www.np.edu.sg/ict/Pages/im.aspx
2020,School of InfoComm Technology,Diploma in Information Technology,N54,ELR2B2-C,5 to 12,85,"You will focus on core computing skills in programming, networking, databases, enterprise information systems but can start investigating IT-related topics and developing your digital portfolio in your first year. In your second and third year, you are free to choose from a myriad of electives that suit your interests and passion. In your final year, you will pursue a six-month local or overseas internship, launch your own IT business ideas at our technology hubs or work on a capstone project which will beef up your digital portfolio.",https://www.np.edu.sg/ict/Pages/it.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Biomedical Science,N59,ELR2B2-C,3 to 8,90,"In year 1, you get to study a range of subjects such as Anatomy & Physiology, Cell Biology & Genetics, Biostatistics, Chemistry and Microbiology whereas in year 2, you are expected to choose one of our two specialisation options which will further build up your knowledge and skills in biomedical sciences. In the final year, students take on Capstone Projects and internships with local or overseas research institutes and healthcare organisations.",https://www.np.edu.sg/lsct/Pages/bms.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Chemical & Biomolecular Engineering,N56,ELR2B2-C,4 to 11,80,"You get to study a broad range of modules covering chemical processing, biopharmaceutical technology, environment science, engineering and life sciences.",https://www.np.edu.sg/lsct/Pages/cbe.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Environmental & Water Technology,N74,ELR2B2-C,10 to 14,45,You get to learn about sustainable technologies and solutions for management and mitigation of environmental issues. You will also acquire the skills and knowledge on management and communication of environmental and workplace safety & health issues.,https://www.np.edu.sg/lsct/Pages/ewt.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Landscape Design & Horticulture,N57,ELR2B2-D,7 to 15,45,"You will develop skills in landscape design, project management and park management. You will study various subjects including plant anatomy, biochemistry, plant pathology, and propagation of plants.",https://www.np.edu.sg/lsct/Pages/ldh.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Pharmaceutical Science,N73,ELR2B2-C,3 to 9,45,"You will be equipped with the skills and knowledge in pharmaceutical sciences, including drug manufacturing and pharmacology. The course's broad-based training includes an internship and the unique Pharmacy Training Programme, designed to engage you in learning directly from working professionals.",https://www.np.edu.sg/lsct/Pages/pharm.aspx
